Atlanta,Boston,Cincinnati,Columbus,Dallas,Indianapolis,LittleRock,LosAngeles,Memphis,St.Louis,Spokane,Tampa
0,1068,461,549,805,508,505,2197,366,558,2467,467
1068,0,867,769,1819,941,1494,3052,1355,1178,2747,1379
461,867,0,107,943,108,618,2186,502,338,2067,928
549,769,107,0,1050,172,725,2245,586,409,2131,985
805,1819,943,1050,0,882,325,1403,464,645,1891,1077
508,941,108,172,882,0,562,2080,436,234,1959,975
505,1494,618,725,325,562,0,1701,137,353,1988,912
2197,3052,2186,2245,1403,2080,1701,0,1831,1848,1227,2480
366,1355,502,586,464,436,137,1831,0,294,2042,779
558,1178,338,409,645,234,353,1848,294,0,1820,1016
2467,2747,2067,2131,1891,1959,1988,1227,2042,1820,0,2821
467,1379,928,985,1077,975,912,2480,779,1016,2821,0
