SurvYear,SurvMonth,GrYrMo,OrigSeq,COL,DEPT,MAJ,Level,Gender,Ethnic,AgeAtGrad,Disability,Birthdate,StartSem,StartYr,PrevBachMajor,PrevBachInstitu,PrevBachYr,_ndPrevBachMaj,_ndPrevBachInst,_ndPrevBachYr,PrevMastfMajor,PrevMastInst,PrevMastYr,_ndPrevMastMajor,_ndPrevMastInstitu,_ndPrevMastYr,PrevDoctMajor,PrevDoctInst,PrevDoctYr,Reason1st,Reason2nd,Reason3rd,ReasonOth,GenRating,FacKnowledge,FacTeaching,FacResInClass,FacOutsideClass,DeptStaff,FacIntSuccess,ApplicCourses,CourseAvail,OppWorkResProj,ClassLabQual,ResLabQual,GrAdvisAvail,GrAdvAdmin,GrAdvPersonal,GrAdvCareerAdv,GeAdvUsefulAccurate,GrAdvPlcmt,MajProfAvail,MajProfAcad,MajProfDis_Thes,MajProfCareerAdv,MajProfUsefulAccurate,MajProfPlcemt,ConfAttnd,ConfPapers,JournlPublicn,NearFuturePlans,FutureRelToDeg,FutureEmployType,Expense,Housing,CulturalOps,SocialOps,Collegiality,InternatStuAcceptance,MinorityAcceptance,LibBooks,LibJournl,LibRef,LibStudy,LibILL,LibUsrAsst,LibHrs,OwnPC,BorrowPC,CompGen,CompUsage,CompLocaOrig,CompLocaNorm,CompAvail,CompQual,CompUsrAsst,UC_SUB,RecCntr,HalthServ,CounselingCntr,CareerP_P,StuPublica,Parking,BusServ,Security,StuAttny,Bookstore,DisabStuSrv,GradAdmis,GradSchool,RegisRegistrar,Bursr,InternatProg,FinAid,ParentsInCollege,FinSupDataQual,Fin_RA,Fin_TA,Fin_GA,Fin_PT,Fin_FT,Fin_Scholarsh,Fin_Spouse,Fin_Parent,Fin_Loan,Fin_Grant,Fin_Trust,Fin_Employer,Fin_Military,Fin_Govt,Fin_Oth,Fin_Credit_Cards,Fin_OthDefined
1993,May,199305,1,EN,E E,Electrical Engr.,Mast.,M,N,30,No,,Spr.,1992,Electrical Engr.,[China],1985,N/A,N/A,,Electical Engr.,[China],1989,N/A,N/A,,N/A,N/A,,Cost,Scholarship,blank,,3,3,3,3,4,4,3,3,3,2,3,2,3,4,4,3,3,2,3,3,3,2,3,2,,,,?,?,?,4,4,2,2,,4,,2,4,3,3,3,4,3,Yes,N/A,,4,E E,DEPT-EN,4,4,3,3,4,3,3,3,3,3,3,3,3,2,,3,3,3,3,3,3,N/A,OK,,,0.3,,,,,,,,0.7,,,,,,
1993,May,199305,3,AS,HESS,Sci. Basis of Exercise,Mast.,F,W,24,No,,Fall,1991,Physical Ed.,TTU,1991,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,EmployedLubbock,PrevAtTTU,,5,4,3,4,4,4,4,4,4,4,4,4,2,3,3,3,3,2,,,,,,,,,,New job,?,?,4,3,3,4,3,,,3,4,4,4,1,3,2,Yes,N/A,,2,HPER,DEPT-AS-HU,3,3,1,3,5,5,,,,1,3,,,4,,4,4,,4,,3,N/A,OK,,,,0.5,,,,,0.5,,,,,,,,
1993,May,199305,4,AS,PSY,Clinical Psychology,Mast.,F,H,26,No,,Fall,1990,Psychology,Baylor,1989,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Other,Major program,Cost,APA Accreditation,4,4,4,3,3,3,3,4,2,3,3,3,4,5,4,5,5,4,4,4,4,4,4,4,,,1,Cont. Educ.,N/A,N/A,4,4,3,4,4,,3,4,4,4,4,4,5,4,Yes,N/A,,5,ATLC,ATLC,4,4,3,4,5,5,4,,3,3,3,3,,3,2,4,5,,4,,3,N/A,OK,0.25,,,,,0.01,0.5,,0.2,0.04,,,,,,,
1993,May,199305,7,AS,PHYS,Physics,Mast.,M,N,30,No,,Fall,1991,Physics,?,1989,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,TA/RA,blank,blank,,2,3,3,4,4,4,4,2,1,2,2,3,3,4,2,4,3,1,2,4,3,4,4,1,,,1,Cont. Educ.,N/A,N/A,4,2,1,2,2,3,3,2,3,4,4,4,5,2,No,N/A,,4,ATLC,ATLC,3,3,4,2,3,,,1,,,,4,,2,,1,2,4,2,4,2,N/A,OK,,1,,,,,,,,,,,,,,,
1993,May,199305,8,BA,BA GEN,Gen. Business,Mast.,M,W,42,No,,Fall,1991,Management,C. of SW,1990,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Location,Scholarship,,5,4,4,3,4,4,4,4,4,,4,3,3,3,3,4,3,5,4,4,,3,4,3,,,,Searching,N/A,N/A,2,,4,4,5,,,3,2,2,4,3,2,4,Yes,N/A,,4,AT/BA,ATLC/BA,3,3,3,4,5,,,,2,3,3,2,,3,,2,5,4,4,,,N/A,OK,,,,,,,0.9,0.1,,,,,,,,,
1993,May,199305,9,ED,EP&L,Educ. Psychology,Mast.,F,W,26,No,,Fall,1991,Religion,McMurry,1989,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Location,Family/FriendsRecom'd,blank,,3,5,4,3,2,2,2,5,1,1,2,2,1,1,1,2,1,1,2,4,,3,2,1,,,,Cont. Educ.,N/A,N/A,4,4,5,5,5,,,1,1,1,1,2,2,2,Yes,N/A,,3,ATLC,ATLC,2,4,3,4,5,4,5,4,3,1,2,3,,4,,5,4,1,1,,1,N/A,OK,,,,,,,,,1,,,,,,,,
1993,May,199305,10,GR,INTERDIS,Interdis. Studies,Mast.,F,W,25,No,,Fall,1991,English,Wisconsin-Milwaukee,1989,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Scholarship,TA/RA,blank,,2,2,3,1,3,2,2,1,4,3,2,3,1,1,1,1,1,1,4,2,3,2,3,2,,,,New job,?,?,4,5,1,1,1,,,2,2,1,2,2,,2,No,N/A,,4,ATLC,ATLC,4,4,3,3,4,3,,2,2,2,4,,,2,,,3,,,,,N/A,OK,,0.1,,,,0.85,,,,,0.05,,,,,,
1993,May,199305,11,ED,EP&L,Educ. Psychology,Mast.,?,?,,No,,Fall,1991,?,?,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,Major program,Location,Cost,,5,5,5,5,,,,5,4,,,,5,5,,,,,,,,,,,,,,New job,?,?,4,,,,5,,,5,5,5,5,,5,,No,N/A,,1,N/A,N/A,,,,4,,,,,,1,,,,5,,5,5,5,5,,5,N/A,OK,,,,,,,,,0.5,,,,,,,0.5,
1993,May,199305,12,AR,ARCH,Land Use Planning,Doct.,M,W,54,No,,Fall,1983,Sociology,TTU,1961,N/A,N/A,,Social Work,Denver,1966,N/A,N/A,,N/A,N/A,,EmployedLubbock,Major program,PrevAtTTU,,4,3,4,3,2,,3,4,3,,3,3,3,3,,,,,3,3,4,,,,,,,Cont. Employ.,?,?,4,,4,,1,,,4,4,3,3,4,4,3,No,N/A,,4,SOC,DEPT-AS-SS,3,3,3,,,,,,,,,,,,,4,5,4,2,,,N/A,OK,,,,,1,,,,,,,,,,,,
1993,May,199305,13,EN,CH E,Chemical Engr.,Mast.,M,N,25,No,,Fall,1991,Chemical Engr.,[Philippines],1989,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,,TA/RA,blank,blank,,4,5,5,3,5,5,4,5,4,3,3,2,4,3,2,3,3,2,3,3,4,4,4,3,,,,Cont. Educ.,N/A,N/A,4,4,2,2,4,4,4,3,3,3,5,5,4,5,No,N/A,,5,CH E,DEPT-EN,4,4,4,4,5,5,5,5,4,,,4,,3,,4,4,4,3,5,,N/A,OK,1,,,,,,,,,,,,,,,,
