Square,X1,X2,X3,X4,Y1,Y2,Y3,Y4
1,40,30,0,30,0,25,0,0
2,20,0,0,10,10,90,0,0
3,5,0,0,50,20,50,0,0
4,30,0,0,30,0,60,0,0
5,40,20,0,20,0,95,0,0
6,60,0,0,5,0,100,0,0
7,90,0,0,10,0,100,0,0
8,100,0,0,0,20,80,0,0
9,0,0,0,10,40,60,0,0
10,15,0,0,20,25,10,0,0
11,20,0,0,10,5,50,0,0
12,0,0,0,50,5,60,0,0
13,10,0,0,30,30,60,0,0
14,40,0,0,20,50,10,0,0
15,10,0,0,40,80,20,0,0
16,60,0,0,0,100,0,0,0
17,45,0,0,0,5,60,0,0
18,100,0,0,0,100,0,0,0
19,20,0,0,0,20,0,0,0
20,0,0,0,60,0,50,0,0
21,0,0,0,80,0,75,0,0
22,0,0,0,50,0,50,0,0
23,30,10,0,60,0,100,0,0
24,0,0,0,50,0,50,0,0
25,50,20,0,30,0,100,0,0
26,5,15,0,80,0,100,0,0
27,60,40,0,0,10,90,0,0
28,60,40,0,0,50,50,0,0
29,94,5,0,0,90,10,0,0
30,80,0,0,20,0,100,0,0
31,50,50,0,0,25,75,0,0
32,10,40,50,0,75,25,0,0
33,12,12,75,0,10,90,0,0
34,50,50,0,0,15,85,0,0
35,50,40,10,0,80,20,0,0
36,0,0,100,0,100,0,0,0
37,0,0,100,0,100,0,0,0
38,70,30,0,0,50,50,0,0
39,40,40,20,0,50,50,0,0
40,0,0,100,0,100,0,0,0
41,25,25,50,0,100,0,0,0
42,40,40,0,20,80,20,0,0
43,90,0,0,10,100,0,0,0
44,100,0,0,0,100,0,0,0
45,100,0,0,0,90,10,0,0
46,10,0,0,90,100,0,0,0
47,80,0,0,20,100,0,0,0
48,60,0,0,30,80,0,0,0
49,40,0,0,0,0,30,0,0
50,50,0,0,50,100,0,0,0
51,50,0,0,0,40,0,0,0
52,30,30,0,20,30,60,0,0
53,20,20,0,40,0,100,0,0
54,20,80,0,0,0,100,0,0
55,0,10,0,60,0,75,0,0
56,0,50,0,30,0,75,0,0
57,50,50,0,0,30,70,0,0
58,0,0,0,60,0,60,0,0
59,20,20,0,60,0,100,0,0
60,90,10,0,0,70,30,0,0
61,100,0,0,0,100,0,0,0
62,15,15,0,30,0,40,0,0
63,100,0,0,0,25,75,0,0
64,95,0,0,5,90,10,0,0
65,95,0,0,5,90,10,0,0
66,60,40,0,0,50,50,0,0
67,30,60,10,10,50,10,0,0
68,50,0,50,50,100,0,0,0
69,60,30,0,10,60,40,0,0
70,90,8,0,2,80,20,0,0
71,30,30,30,40,60,40,0,0
72,33,33,33,33,75,25,0,0
73,20,10,0,40,0,100,0,0
74,50,0,0,50,40,60,0,0
75,75,12,0,12,50,50,0,0
76,75,0,0,25,40,60,0,0
77,30,0,0,50,0,100,0,0
78,50,10,0,30,5,95,0,0
79,100,0,0,0,60,40,0,0
80,50,0,0,50,20,80,0,0
81,10,0,0,90,0,100,0,0
82,30,30,0,20,0,85,0,0
83,20,20,0,20,0,75,0,0
84,90,0,0,0,50,25,0,0
85,30,0,0,0,30,5,0,0
86,20,30,0,50,20,80,0,0
87,50,30,0,10,50,50,0,0
88,80,0,0,0,70,10,0,0
89,80,0,0,0,50,0,0,0
90,60,10,0,25,80,15,0,0
91,50,0,0,0,75,0,0,0
92,70,0,0,0,75,0,0,0
93,100,0,0,0,85,15,0,0
94,60,30,0,0,40,60,0,0
95,80,20,0,0,50,50,0,0
96,100,0,0,0,100,0,0,0
97,100,0,0,0,95,5,0,0
98,0,0,0,60,0,50,0,0
99,30,20,0,30,0,60,0,40
100,15,0,0,35,20,30,0,0
101,40,0,0,45,70,20,0,0
102,30,0,0,45,20,40,0,20
103,60,10,0,30,10,65,5,20
104,40,20,0,40,0,25,0,75
105,100,0,0,0,70,0,0,30
106,100,0,0,0,40,60,0,0
107,80,10,0,10,40,60,0,0
108,90,0,0,10,10,0,0,90
109,100,0,0,0,20,10,0,70
110,30,50,0,20,10,90,0,0
111,60,40,0,0,50,50,0,0
112,100,0,0,0,80,10,0,10
113,60,0,0,40,60,10,30,0
114,50,50,0,0,0,100,0,0
115,60,30,0,10,25,75,0,0
116,40,0,0,60,30,20,50,0
117,30,0,0,70,0,50,50,0
118,50,20,0,30,0,100,0,0
119,50,50,0,0,25,75,0,0
120,90,10,0,0,50,50,0,0
121,100,0,0,0,60,40,0,0
122,50,0,0,50,70,30,0,0
123,10,10,0,80,0,100,0,0
124,50,50,0,0,30,70,0,0
125,75,0,0,25,80,20,0,0
126,40,0,0,60,0,100,0,0
127,90,10,0,10,75,25,0,0
128,45,45,0,55,30,70,0,0
129,20,35,0,80,10,90,0,0
130,80,0,0,20,70,30,0,0
131,100,0,0,0,90,0,0,0
132,75,0,0,25,50,50,0,0
133,60,5,0,40,50,50,0,0
134,40,0,0,60,60,40,0,0
135,60,0,0,40,70,15,0,0
136,90,10,0,10,75,25,0,0
137,50,0,5,0,30,20,0,0
138,70,0,30,0,70,30,0,0
139,60,0,40,0,100,0,0,0
140,50,0,0,0,50,0,0,0
141,30,0,50,0,60,40,0,0
142,5,0,95,0,80,20,0,0
143,10,0,90,0,70,30,0,0
144,50,0,0,0,15,30,0,0
145,20,0,80,0,50,50,0,0
146,0,0,100,0,90,10,0,0
147,0,0,100,0,75,25,0,0
148,90,0,10,0,60,30,10,0
149,0,0,100,0,80,10,10,0
150,0,0,100,0,60,40,0,0
151,0,40,60,40,50,50,0,0
