Man1,Man2,Man3,Serv1,Serv2,Serv3,Serv4
-0.010376336,-0.002811634,0.0010443272,0.0042069536,-0.00431953,-0.011520534,-0.000218869
-0.015294139,-0.017052611,-0.002008442,0.0131441983,0.003391672,-0.005959107,0.0057524263
-0.005597689,-0.000867514,0.0076472211,0.002495059,-0.004570792,-0.011096758,0.0104836111
-0.006594511,0.0080150716,0.0021403175,-0.006727501,-0.003915131,0.0042503583,0.0055157169
0.0080060066,-0.004137202,-0.002886513,0.0117902676,0.0111748184,0.013899308,-0.006460089
0.0090888813,-0.002099296,0.0068397409,0.0083455748,-0.004702975,-0.00163978,-0.003244047
-0.003839431,0.001096463,0.0094537826,0.015282801,0.0060615672,0.0016553234,0.0122324835
0.0097616309,-0.007982441,0.0024226775,-0.008364883,-0.010332569,-0.005844558,-0.005264375
-0.00766548,0.0035728739,-0.005306547,0.0124144684,0.0028690812,-0.012112368,-0.003640899
0.0028503874,0.0048675588,0.0105224521,0.0085467631,-0.002126978,0.005293609,0.0104891406
0.0052407082,0.0053366708,0.0017754423,-0.002661744,-0.000033207,-0.005341164,0.0141405349
0.001110596,-0.00032246,0.0059406076,0.0045715124,-0.003648058,-0.006556855,0.0074512695
0.0003114105,0.0027926592,0.0017541333,-0.006055298,0.0242709512,0.0060822014,0.0106108639
0.0235722897,-0.008838656,0.005662263,-0.006885222,-0.002264822,0.0066109392,0.001982277
-0.011759859,0.0000518967,-0.013629422,0.0172183666,0.0191114513,-0.003098955,0.0035828511
-0.016483494,-0.007392404,0.0091126591,0.0068537589,-0.001024898,0.0062589322,-0.000263216
-0.00856301,-0.009240521,-0.009259395,-0.001896563,0.002796772,-0.00210171,0.0184885347
-0.010030533,-0.000784326,-0.010390498,-0.002687578,-0.014486648,0.00446101,0.0205634824
0.0082472796,0.0005041971,0.0079248882,0.0049640788,-0.003067311,0.0020904388,-0.009292087
0.0091411767,0.0182104401,0.0031102094,0.0145153689,0.0102245653,0.0079906081,0.019913275
0.0124928748,-0.009648595,0.0063308467,-0.003727141,-0.006651494,-0.007556756,0.0060647822
0.0201768474,0.0106618764,0.0046867466,0.005237334,-0.010395329,0.0200632211,0.0124724074
0.0085602367,0.0156362119,0.0112832408,-0.0023304,0.0263343716,-0.009964115,0.0102494093
-0.004554416,-0.025925319,-0.018377765,0.0008916757,-0.005657518,-0.001358857,0.0010566965
